ID,Submission_Result,Title,Team_Leader,URL
9024,Selected,Algramo: Lowering Prices by Eliminating Packaging Waste,Brian Bauer,https://solve.mit.edu/solutions/9024
9360,Selected,Recycling Unrecyclable Plastics,Miranda Wang,https://solve.mit.edu/solutions/9360
9147,Selected,Xilinat,Javier Larragoiti,https://solve.mit.edu/solutions/9147
9356,Selected,Rheaply,Garry Cooper,https://solve.mit.edu/solutions/9356
8589,Selected,Queen of Raw,Stephanie Benedetto,https://solve.mit.edu/solutions/8589
8534,Selected,Creating Circular Solutions,Nicole Bassett,https://solve.mit.edu/solutions/8534
8759,Selected,AIR-INK: Air-Pollution to ink,Anirudh Sharma,https://solve.mit.edu/solutions/8759
8523,Selected,Mylea : a Better Leather,Adi Reza Nugroho,https://solve.mit.edu/solutions/8523
8852,Finalist,Revive Eco ,Scott Kennedy,https://solve.mit.edu/solutions/8852
9039,Finalist,Pyrowave - regeneration of plastics through microwaves,Jocelyn Doucet,https://solve.mit.edu/solutions/9039
9219,Finalist,Hello Tractor,Priscilla Asonibare,https://solve.mit.edu/solutions/9219
8977,Finalist,Topolytics,Michael Groves,https://solve.mit.edu/solutions/8977
8958,Finalist,Magnomer: A Design2Recycle,Ravish Majithia,https://solve.mit.edu/solutions/8958
8885,Finalist,GreenToGo,Jennifer Hill,https://solve.mit.edu/solutions/8885
8782,Finalist,Carbicrete,Florence Genest,https://solve.mit.edu/solutions/8782
9044,Submitted,Fashion Takes Action,Kelly Drennan,https://solve.mit.edu/solutions/9044
9040,Submitted,Filljoy,Derrick Chao,https://solve.mit.edu/solutions/9040
9257,Submitted,ManaShare,Angelica Salele-Sefo,https://solve.mit.edu/solutions/9257
8743,Submitted,LIFAFFA - Upcycling plastic waste to create vegan leather,Kanika Ahuja,https://solve.mit.edu/solutions/8743
8650,Submitted,IRO IRO: zero waste,Bhaavya Goenka,https://solve.mit.edu/solutions/8650
9366,Submitted,Fluid Intelligence - Oil as a Service,Mika Perttula,https://solve.mit.edu/solutions/9366
9033,Submitted,CRIATERRA Earth Technologies,Adital Ela,https://solve.mit.edu/solutions/9033
9087,Submitted,Waste recognition AI to improve & automate recycling,Alisa Pritchard,https://solve.mit.edu/solutions/9087
9090,Submitted,Wecyclers - Recycling Exchange (WREX),Olawale Adebiyi,https://solve.mit.edu/solutions/9090
9019,Submitted,Zelij Invent,Saif Eddine Laalej,https://solve.mit.edu/solutions/9019
8527,Submitted,obvıous.,Michael Hosanee,https://solve.mit.edu/solutions/8527
8859,Submitted,"PukPun Organic Smoothie, the Sustainable Journey.",Sirilak Mahajuntanaporn,https://solve.mit.edu/solutions/8859
9277,Submitted,LimeLoop,Ashley Etling,https://solve.mit.edu/solutions/9277
9203,Submitted,SOIL’s Circular Economy Solution for Urban Sanitation,Leah Nevada Page Jean,https://solve.mit.edu/solutions/9203
9095,Submitted,Ecotiles ,Kevin Mureithi Maina,https://solve.mit.edu/solutions/9095
9347,Submitted,The NEST by Worldview Technology,Kaveto Tjatjara,https://solve.mit.edu/solutions/9347
9054,Submitted,Genecis Bioindustries Inc.,Abdul Khogali,https://solve.mit.edu/solutions/9054
8497,Submitted,Sinba: Circular and Inclusive Food Cycling,Pipo Reiser,https://solve.mit.edu/solutions/8497
9313,Submitted,Global Plastic Waste Deposit and Tracking System,Wilhelm Myrer,https://solve.mit.edu/solutions/9313
9056,Submitted,RePack,Jonne Hellgren,https://solve.mit.edu/solutions/9056
9002,Submitted,Recyclops,Ryan  Smith,https://solve.mit.edu/solutions/9002
8881,Submitted,WAS Company (Worldwide Accountability Solutions),Walter Daniel Mata Martínez,https://solve.mit.edu/solutions/8881
8461,Submitted,AutoKode (Automatic Composter for Rural Area),Mohammad Naufal,https://solve.mit.edu/solutions/8461
8970,Submitted,Menos Lixo,Antelmina Piedade,https://solve.mit.edu/solutions/8970
8966,Submitted,PLAN A: Action platform in the fight against climate change,Sami Deweerdt,https://solve.mit.edu/solutions/8966
8858,Submitted,"Resyn -The world works in circularity, so should our economy",Julien Roberge,https://solve.mit.edu/solutions/8858
8988,Submitted,Syntoil,Martyna Sztaba,https://solve.mit.edu/solutions/8988
8773,Submitted,Back-to-Bark,Adapt Plus,https://solve.mit.edu/solutions/8773
8640,Submitted,Fabric made with recycled plastic powder,Vikram Kumar Gupta,https://solve.mit.edu/solutions/8640
9170,Submitted,Ubuntoo ,Peter  Schelstraete,https://solve.mit.edu/solutions/9170
8930,Submitted,Soilfood,Eljas Jokinen,https://solve.mit.edu/solutions/8930
9255,Submitted,Revolv: the software platform for the end of single-use,Forrest Carroll,https://solve.mit.edu/solutions/9255
8541,Submitted,Zinc-battery for mass applications ,David Judbarovski,https://solve.mit.edu/solutions/8541
9282,Submitted,21st-Century Career Developers,Claude Arnell Milhouse,https://solve.mit.edu/solutions/9282
9006,Submitted,The Dynamics of Innovation and Sustainable Transition,Jonathan Tetteh-Cole,https://solve.mit.edu/solutions/9006
9237,Submitted,ECO-BRICKS BUILDINGS,Uche Emmanuel Edike,https://solve.mit.edu/solutions/9237
8781,Submitted,Takapesa,Robin Nyaosi,https://solve.mit.edu/solutions/8781
8800,Submitted,Mine´s Circular Economy ,LUIS PAOLO FRANCISCO MENDIOLA SOBERON,https://solve.mit.edu/solutions/8800
8777,Submitted,Dinâmica - The Circular Bicycle Factory,Vinicius Villas Boas,https://solve.mit.edu/solutions/8777
8614,Submitted,Replace concrete with CarbonCrete,D Dobbs,https://solve.mit.edu/solutions/8614
8621,Submitted,A Power Source to Fabricate the Building Blocks of Life,Sherman W Braithwaite,https://solve.mit.edu/solutions/8621
8667,Submitted, My solution is called ( No energy No life ) ,Ahmed mohammed Abo aamer,https://solve.mit.edu/solutions/8667
8689,Submitted,T.H.M -Third Hand Market ,Alex .S Sibanda,https://solve.mit.edu/solutions/8689
8769,Submitted,CIFRON,Rafaela Polanski,https://solve.mit.edu/solutions/8769
8623,Submitted,SUN PACK,James Kariuki,https://solve.mit.edu/solutions/8623
8638,Submitted,Ecoplastile-Turning Plastics into Wooden Timbers and Tiles,FRANC KAMUGYISHA,https://solve.mit.edu/solutions/8638
8662,Submitted,Keira Style ,Vivian  Mokeira,https://solve.mit.edu/solutions/8662
9329,Submitted,BIOCRETE,MARTHA POISOT,https://solve.mit.edu/solutions/9329
9379,Submitted,REPLAST,Francis Okocha-Ojeah,https://solve.mit.edu/solutions/9379
8583,Submitted,AFRI5 - The e-Commerce for Africa & the Future of Logistics,Bezalel .,https://solve.mit.edu/solutions/8583
9377,Submitted,recycle printed paper,kaustubh agrawal,https://solve.mit.edu/solutions/9377
9363,Submitted,"Amadou Leather™: Circular, Carbon-Neutral and Vegan",Irene-Marie Seelig,https://solve.mit.edu/solutions/9363
9276,Submitted,Cotton Move: A circular solution for textile waste,Jose Guilherme Teixeira,https://solve.mit.edu/solutions/9276
9200,Submitted,recircular #BecauseWasteDoesNotExist,Patricia Astrain,https://solve.mit.edu/solutions/9200
8895,Submitted,Plastic Eating Bacteria,Brenton Carter,https://solve.mit.edu/solutions/8895
8817,Submitted,S H E | School Uniforms that Grow,Payton McGriff,https://solve.mit.edu/solutions/8817
9069,Submitted,CO2 absorption and extracion fabric ,Karthik  M,https://solve.mit.edu/solutions/9069
8751,Submitted,Luceria by TREES,Cherryl Aguilar,https://solve.mit.edu/solutions/8751
9135,Submitted,PlastiCarGo,Anton Methegan,https://solve.mit.edu/solutions/9135
9285,Submitted,SOLVillion ,AIA  ABUL-HAJ,https://solve.mit.edu/solutions/9285
8520,Submitted,Segregate With Ease (SWE),Emmanuel Danso,https://solve.mit.edu/solutions/8520
9116,Submitted,September Energy: Waste Plastic to Electricity,Allen Matsika,https://solve.mit.edu/solutions/9116
9275,Submitted,Indie Lights,Adebayo Akinbi,https://solve.mit.edu/solutions/9275
9058,Submitted,Aerial Industries - Recyclable Flying Knapsack,Arinze N. N. Eze,https://solve.mit.edu/solutions/9058
9317,Submitted,As Nature Does,Paula Masson Marangon,https://solve.mit.edu/solutions/9317
9266,Submitted,Play of Patch and Touch of Re-fabric,Yoko-Sonya Yoshimura,https://solve.mit.edu/solutions/9266
8581,Submitted,''PLANTER'': Micro Climate into a Philippine Jeepney ,Larry Roberto  Gile,https://solve.mit.edu/solutions/8581
8586,Submitted,Closed Loop Calcium Recycling: Scrappy Pet Treats,George  Gebran,https://solve.mit.edu/solutions/8586
8923,Submitted,Waste Optimization System(WOS) ,Mossad Samaha,https://solve.mit.edu/solutions/8923
8611,Submitted,Full Circle Filament: Your waste is our resource,Chris Oestereich,https://solve.mit.edu/solutions/8611
8998,Submitted,Self-driving recycling bins made from recycled materials.,Benedict Neo,https://solve.mit.edu/solutions/8998
9227,Submitted,New Refill and Dispensing Method That Keeps Bottles Reusable,Tony Macias,https://solve.mit.edu/solutions/9227
8973,Submitted,Recycling metal stove (RMS),Luiza Scolin,https://solve.mit.edu/solutions/8973
8595,Submitted,Kudoti - A data platform for a connected waste ecosystem,Matthieu de Gaudemar,https://solve.mit.edu/solutions/8595
8765,Submitted,Maldives Matter Project,Melchior Bos,https://solve.mit.edu/solutions/8765
9334,Submitted,Circularise: prove your sustainability practices ,Igor Konstantinov,https://solve.mit.edu/solutions/9334
8598,Submitted,Packaging and building materials made from coconut waste,Brenya Isaac,https://solve.mit.edu/solutions/8598
9299,Submitted,Aiducation ,Ngoza Mwansa,https://solve.mit.edu/solutions/9299
8676,Submitted,ATP's CRBBP Process=Cost-Advantaged Circular Economy Fillers,Joe James,https://solve.mit.edu/solutions/8676
9073,Submitted,Sotavento Foundatión AGROSUPO,Wendy  Henao,https://solve.mit.edu/solutions/9073
9084,Submitted,"Solution to getting rid of old, used tyres",Tendai Chiguware,https://solve.mit.edu/solutions/9084
8865,Submitted,"Ovark Bio -Polymer Concepts: Creating  Sustainable Cities, C",Osinachi Dike Iwuala Nwaeto,https://solve.mit.edu/solutions/8865
9249,Submitted,Lup Colombia- Redefining trash ,Caitlin Oliver,https://solve.mit.edu/solutions/9249
8894,Submitted,Fuel Cell Energy for the Recycling,first last,https://solve.mit.edu/solutions/8894
8952,Submitted,The Noble Savage ,Msindazwe Ndhlovu,https://solve.mit.edu/solutions/8952
9376,Submitted,HI-Light,Xiangkun (Elvis) Cao,https://solve.mit.edu/solutions/9376
9368,Submitted,Encouraging communities to sort and recycle,Timur Sheydaev,https://solve.mit.edu/solutions/9368
9370,Submitted,Wear Forward,Jimdel Ventura,https://solve.mit.edu/solutions/9370
9217,Submitted,Boano Environmental Service ,Christopher Gyan-Mensah,https://solve.mit.edu/solutions/9217
9025,Submitted,"Airborne Aid: zero cost, zero waste, big impact.",Laura Goodwins,https://solve.mit.edu/solutions/9025
9375,Submitted,FabricAID ,mitted,https://solve.mit.edu/solutions/9375
9164,Submitted,Rafiki Youth Center,Elizabeth Koka,https://solve.mit.edu/solutions/9164
9373,Submitted,Circular Native,Irene Seelig,https://solve.mit.edu/solutions/9373
8668,Submitted,Addressing community development with Renewable Energy,HABIBA ALI,https://solve.mit.edu/solutions/8668
9350,Submitted,YKD Solar,Adrian Lerma,https://solve.mit.edu/solutions/9350
9107,Submitted,Bioplastic production from wastewater,Casey McGrath,https://solve.mit.edu/solutions/9107
8464,Submitted,Upcycle Jeans with MFC,Dielle Lundberg,https://solve.mit.edu/solutions/8464
9260,Submitted,Carbon Facts Labeling - Carbon Footprint Transparency,Jackie O'Bright,https://solve.mit.edu/solutions/9260
9028,Submitted,Creating Carbon Sinks and Carbon Negative Livelihoods,Destiny Saucedo,https://solve.mit.edu/solutions/9028
9173,Submitted,Re:Pax,Ward Stirrat,https://solve.mit.edu/solutions/9173
9188,Submitted,FLY COLONY,Olufemi Adenekan,https://solve.mit.edu/solutions/9188
9060,Submitted,Green market,Andrea Sangueza,https://solve.mit.edu/solutions/9060
9374,Submitted,Plastics Upcycling,Plastics Upcycling,https://solve.mit.edu/solutions/9374
9023,Submitted,Ouroots Africa ,Stella  Nakawuki Lukwago,https://solve.mit.edu/solutions/9023
9369,Submitted,"Locally manufactured, fully recycled, plastic eyewear",mitted,https://solve.mit.edu/solutions/9369
8715,Submitted,SeaChange Technologies,Meredith Metz,https://solve.mit.edu/solutions/8715
9371,Submitted,Food Will ,Farooq  Shaukat,https://solve.mit.edu/solutions/9371
9242,Submitted,Sustainable Pathway Design for Plastic Packaging,Vyom Thakker,https://solve.mit.edu/solutions/9242
9250,Submitted,An enlightned idea,JANAINA DE LEITE,https://solve.mit.edu/solutions/9250
9251,Submitted,Biz Bride,Sehrish  Raza,https://solve.mit.edu/solutions/9251
9352,Submitted,NANOxARCH - Recycled Materials x Sustainable Design,Yuxi Lei,https://solve.mit.edu/solutions/9352
9189,Submitted,Natural Eco Capital,Eugene Itua,https://solve.mit.edu/solutions/9189
8983,Submitted,Greension Cycle,Andressa Lima,https://solve.mit.edu/solutions/8983
9362,Submitted,Resposal,Kurt Keville,https://solve.mit.edu/solutions/9362
8617,Submitted,SustainHubility,Wangiwe Joanna Kambuzi,https://solve.mit.edu/solutions/8617
9341,Submitted,"GIVO - Garbage In, Value Out ",victor Boyle-komolafe,https://solve.mit.edu/solutions/9341
8840,Submitted,Plastic < EMERGENCY > Architecture,Gabriele Jureviciute,https://solve.mit.edu/solutions/8840
9336,Submitted,Behen -- Changing the narrative,Vedha Nayak,https://solve.mit.edu/solutions/9336
8889,Submitted,YoReutilizoelEnvase,Joaquín Antuña,https://solve.mit.edu/solutions/8889
8680,Submitted,Usafiri,Michael Okoth,https://solve.mit.edu/solutions/8680
9284,Submitted,COOLANT - BEEHIVE ,Monish Siripurapu,https://solve.mit.edu/solutions/9284
9201,Submitted,ReBlocks,Jonathan Karl,https://solve.mit.edu/solutions/9201
9194,Submitted,C.O.D.S.S –  CIRCULAR ON-DEMAND SOCIAL SMART CLOTHING,Pedro Ruffier,https://solve.mit.edu/solutions/9194
9049,Submitted,Faire Child Makewear Limited ,Tabitha Osler,https://solve.mit.edu/solutions/9049
9020,Submitted,Recycling Threads of Life,Pankaja  Sethi,https://solve.mit.edu/solutions/9020
8948,Submitted,Powerstove Energy,Okey Esse,https://solve.mit.edu/solutions/8948
9279,Submitted,Sparkle Innovations,Chirag  Virani,https://solve.mit.edu/solutions/9279
9338,Submitted,The Kal-ki Project,mitted,https://solve.mit.edu/solutions/9338
9320,Submitted,Easy Cup Recycling and reusing package container,Mary Shalini Chandran,https://solve.mit.edu/solutions/9320
9155,Submitted,Second Spark - recycled batteries for rural electrification,tarek ketelsen,https://solve.mit.edu/solutions/9155
9127,Submitted,Freshlytics,Alex  Peng,https://solve.mit.edu/solutions/9127
9013,Submitted,"EcoSoA (Economía, Social y Ambiental)",Ellen Owusu Adjeiwaa,https://solve.mit.edu/solutions/9013
