ID,Submission_Result,Title,Team_Leader,URL
9333,Submitted,CLIMATENZA Solar,Shubham  Makar,https://solve.mit.edu/solutions/9333
8549,Submitted,Comé Des-Hechos. Upcycling spent grain . Healthy food,soledad piazza,https://solve.mit.edu/solutions/8549
9150,Submitted,The Environment Show,John Cushing,https://solve.mit.edu/solutions/9150
9094,Submitted,Urbin | A Hyperlocal waste collection service for India,Siddharth Hande,https://solve.mit.edu/solutions/9094
9357,Submitted,ORBE,Douglas dos Santos,https://solve.mit.edu/solutions/9357
8899,Submitted,Bottle Cap Currency App,Elton Kuah,https://solve.mit.edu/solutions/8899
9232,Submitted,Clean Ocean Win,Ariel Kozlowski,https://solve.mit.edu/solutions/9232
8955,Submitted,Wazi Vision,mitted,https://solve.mit.edu/solutions/8955
8902,Submitted,www.moreloop.ws,Amorpol  Huvanandana,https://solve.mit.edu/solutions/8902
8837,Submitted,Trash Lucky,Nattapak Atichartakarn,https://solve.mit.edu/solutions/8837
9202,Submitted,Chemolex Company ,Clifford Owino,https://solve.mit.edu/solutions/9202
9288,Submitted,Sogle Borem (All is Well in Konkani),Werner  Egipsy Souza,https://solve.mit.edu/solutions/9288
9307,Submitted,Agar-agar and agarose fibers for fashion industry,THAMIRES LORDÃO,https://solve.mit.edu/solutions/9307
8559,Submitted,Juve,Sabira Lakhani,https://solve.mit.edu/solutions/8559
9295,Submitted,S-COOL redefining cooling systems,Farshid Pahlevani,https://solve.mit.edu/solutions/9295
9178,Submitted,HomeBiogas Clean Cooking Solutions,Anna Laurash,https://solve.mit.edu/solutions/9178
9339,Submitted,Share-pa,Gayatri Rao,https://solve.mit.edu/solutions/9339
9175,Submitted,Up Concept,ANA CAROLINE  TEIXEIRA DOS SANTOS,https://solve.mit.edu/solutions/9175
8982,Submitted,Salve o planeta,Dyenifer Grazielle,https://solve.mit.edu/solutions/8982
8755,Submitted,dHope!,Henry Ohaegbulam,https://solve.mit.edu/solutions/8755
9271,Submitted,Global clean,Marcelo Saita,https://solve.mit.edu/solutions/9271
9190,Submitted,RECOSI – SOCIAL FRANCHISE FOR SMARTER ICT CONSUMPTION  ,Katja Zajko,https://solve.mit.edu/solutions/9190
9312,Submitted,Goodbye plastic - Hello wicker!,Darja Malesic,https://solve.mit.edu/solutions/9312
8992,Submitted,A Closed-loop Consumption social platform for Fashion,ShihYun Kuo,https://solve.mit.edu/solutions/8992
9294,Submitted,Green Clean & Pure,Fatma  Zahran,https://solve.mit.edu/solutions/9294
9222,Submitted,The One Gallon Soap Company,Tristan Corriveau,https://solve.mit.edu/solutions/9222
9218,Submitted,The Student Shop,Mondli Msiza,https://solve.mit.edu/solutions/9218
8780,Submitted,BIORECYCLED NEW BIOMATERIALS (BNB),Elena Perez-Urria,https://solve.mit.edu/solutions/8780
9071,Submitted,Green Earnings,TOLGA ULUSOY,https://solve.mit.edu/solutions/9071
9247,Submitted,HomingWorld: A Homework For a Better World,Anderson Pinheiro Balbo,https://solve.mit.edu/solutions/9247
8451,Submitted,Global CircularID Standard & Digital System,Natasha Franck,https://solve.mit.edu/solutions/8451
9309,Submitted,Shoe cycle,Wesley Maiyo,https://solve.mit.edu/solutions/9309
9086,Submitted,IMperfect,Balázs Némethi,https://solve.mit.edu/solutions/9086
9332,Submitted,Green_Datum,mitted,https://solve.mit.edu/solutions/9332
9007,Submitted,Recyglo' affordable circular economy solutions ,Okka Phyo Maung,https://solve.mit.edu/solutions/9007
9080,Submitted,Green Haathi to Make Earth Green,Ankit Kotia,https://solve.mit.edu/solutions/9080
9205,Submitted,TOWARDS CULTURE CHANGE: Rethinking Used Plastic Bottles.,John Njogu,https://solve.mit.edu/solutions/9205
8620,Submitted,100% Compostable Sanitary Pads from Banana Waste fiber,Marie-Claire kuja,https://solve.mit.edu/solutions/8620
9331,Submitted,Made From Jordan,ahmad jarrar,https://solve.mit.edu/solutions/9331
9327,Submitted,Methafficient: Upgraded Bio gas from food waste in Villages,Afsana Shaheen,https://solve.mit.edu/solutions/9327
9319,Submitted,PlaSTEAMed - Reimagine Recycling,Andrew Hynson,https://solve.mit.edu/solutions/9319
9149,Submitted,World's Biggest Garage Sale,Yasmin Grigaliunas,https://solve.mit.edu/solutions/9149
9328,Submitted,Rentivo,Diana Barreno,https://solve.mit.edu/solutions/9328
9270,Submitted,Hemp from Farm to Medicine Cabinet,Jessica Mulholland,https://solve.mit.edu/solutions/9270
9326,Submitted,by2050: Superbug that eats plastic,Megan Li,https://solve.mit.edu/solutions/9326
9321,Submitted,Cáscara,mitted,https://solve.mit.edu/solutions/9321
9119,Submitted,"NEFY (Not Expired Food, Yet)",Laziz Turakulov,https://solve.mit.edu/solutions/9119
9322,Submitted,CircleTech,Ana Carolina Bertassini,https://solve.mit.edu/solutions/9322
8756,Submitted,BottleUP,Norbert Chang,https://solve.mit.edu/solutions/8756
9143,Submitted,Rootcycle,Bárbara Vargas,https://solve.mit.edu/solutions/9143
9315,Submitted,ChemistryMap,Moritz to Baben,https://solve.mit.edu/solutions/9315
9308,Submitted,Intelligent Battery Recycling System,Han Wang,https://solve.mit.edu/solutions/9308
8470,Submitted,Freebs.io - A classifieds marketplace for free things only,Tawanda Mahachi,https://solve.mit.edu/solutions/8470
8792,Submitted,RenewCykle,Chibunna Ogbonna,https://solve.mit.edu/solutions/8792
8898,Submitted,AGRODOME,mokrim ayoub,https://solve.mit.edu/solutions/8898
9306,Submitted,Sanshodhan :An E-Waste Exchange ,mitted,https://solve.mit.edu/solutions/9306
9310,Submitted,Babani...recyling technology...renew energy ,Dikakoro Stephanie,https://solve.mit.edu/solutions/9310
9174,Submitted,Recycled Spare Parts for Farmers from Digital Business Model,Sampo Autio,https://solve.mit.edu/solutions/9174
8870,Submitted,Earth Card,dinil divakaran,https://solve.mit.edu/solutions/8870
9297,Submitted,SUDÖKO HOUSE,Javier Vila Ferrero,https://solve.mit.edu/solutions/9297
9301,Submitted, Electricity is a part of life.,ALMUSTAPHA ADAM MUHAMMAD,https://solve.mit.edu/solutions/9301
8582,Submitted,A2P Energy Solution,Sukhmeet Singh,https://solve.mit.edu/solutions/8582
8513,Submitted,FROM GARBAGE TO CABBAGE,Edwin Kamau,https://solve.mit.edu/solutions/8513
9228,Submitted,GALES Bricks- Bricks made of recycling materials,Mohammad Monir,https://solve.mit.edu/solutions/9228
9063,Submitted,"AirFaas, an Airbnb for factories",Pontus Nyström,https://solve.mit.edu/solutions/9063
9304,Submitted,light and affordable individual portable biogas plant,Louis Maréchal,https://solve.mit.edu/solutions/9304
9305,Submitted,Plastic bricks,mitted,https://solve.mit.edu/solutions/9305
9300,Submitted,Find Green,Leah Karrer,https://solve.mit.edu/solutions/9300
9289,Submitted,Stop the plastic pollution,mitted,https://solve.mit.edu/solutions/9289
9283,Submitted,Declutter,Kriti Tula,https://solve.mit.edu/solutions/9283
8702,Submitted,Ecohair: recycled hair fertilizer,Azamat Baidaulet,https://solve.mit.edu/solutions/8702
8593,Submitted,Intelligent Circular Economy Orchestration Engine,Stephane Ribot,https://solve.mit.edu/solutions/8593
9129,Submitted,Pipe Dreams,Bassam Huneidi,https://solve.mit.edu/solutions/9129
9123,Submitted,MotionECO- Waste to Wheel,Shutong Liu,https://solve.mit.edu/solutions/9123
8519,Submitted,Biodiesel(A one-stop Solution to many problems),Rutvik Solanki,https://solve.mit.edu/solutions/8519
9062,Submitted,Jajocid | Natural Pesticide From Egg Shell,Urh  Markelj,https://solve.mit.edu/solutions/9062
9291,Submitted,IPO Tables – Connecting The Dots For Circularity ,mitted,https://solve.mit.edu/solutions/9291
8944,Submitted,ALMIGHTY SERVICES PLUS,ENOC ROMEO AZONHOUMON,https://solve.mit.edu/solutions/8944
9280,Submitted,Da Tribu,Tribu Acessórios de Moda Sustentáveis,https://solve.mit.edu/solutions/9280
8967,Submitted,Good Waste for Environmental Solutions,Abdallah Smaik,https://solve.mit.edu/solutions/8967
9042,Submitted,barePack,Valerian Fauvel,https://solve.mit.edu/solutions/9042
9195,Submitted,"Sustainable, Eco-Friendly Office Furniture Solutions",Juha-Matti Ojala,https://solve.mit.edu/solutions/9195
9115,Submitted,The Paper Packaging Company ,Eferobosa  Oguegbu,https://solve.mit.edu/solutions/9115
9253,Submitted,Bamboo implementation in circular economy model.,Ignacio  Barrientos,https://solve.mit.edu/solutions/9253
8709,Submitted,Spring Pool Glass -W Glass Project ,TA Wu,https://solve.mit.edu/solutions/8709
9230,Submitted,CamerGoGreen,Yves Freddy ABEME BOUOTO,https://solve.mit.edu/solutions/9230
8876,Submitted,Almanac,James Gall,https://solve.mit.edu/solutions/8876
8778,Submitted,ChocoMarket ,Juan  Rojas,https://solve.mit.edu/solutions/8778
8880,Submitted,Nilus,Ady Beitler,https://solve.mit.edu/solutions/8880
8633,Submitted,Circular chain,Beacon Inc,https://solve.mit.edu/solutions/8633
9046,Submitted,Recreate India Research Foundation,Rajiv Ramchandra,https://solve.mit.edu/solutions/9046
9032,Submitted,My Green Home Rwanda,David Kinzuzi,https://solve.mit.edu/solutions/9032
8942,Submitted,BioGeek,Maria Antônia Machado,https://solve.mit.edu/solutions/8942
9122,Submitted,"ElectroKoin, the crypto for a zero waste environment.",Edrice Louis,https://solve.mit.edu/solutions/9122
9256,Submitted,OnePlanet Vegan,Elaine Schwaner,https://solve.mit.edu/solutions/9256
9106,Submitted,Recyclify: Incentivized Recycling with Credit Benefits,Raymond Jin,https://solve.mit.edu/solutions/9106
9103,Submitted,Tran$forma®,EQUIPA  GROUP,https://solve.mit.edu/solutions/9103
9211,Submitted,human-I-T,Eileen Harris,https://solve.mit.edu/solutions/9211
9055,Submitted,PlataformaVerde,Chicko Sousa,https://solve.mit.edu/solutions/9055
9235,Submitted,Transporte ou móveis de plástico reciclável ,Rafaela jose Silva,https://solve.mit.edu/solutions/9235
9165,Submitted,Plastic Pickers of Pune,Fiona Mathews,https://solve.mit.edu/solutions/9165
8949,Submitted,Modular Phone,Xiaoyue Wang,https://solve.mit.edu/solutions/8949
8974,Submitted,MicroRecycling Systems,Mario Urdaneta,https://solve.mit.edu/solutions/8974
9079,Submitted,ELIXIRS OF LIFE,Anna Paynich,https://solve.mit.edu/solutions/9079
8980,Submitted,Human Hair Extension Innovative Recycling ,Torri Hampton,https://solve.mit.edu/solutions/8980
9000,Submitted,ValueBin - How to stop the plastic crisis,mitted,https://solve.mit.edu/solutions/9000
9199,Submitted,FARFARM: textile agroforestry.,Beto Bina,https://solve.mit.edu/solutions/9199
9158,Submitted,Disrupting Hunger,Peter Gichuku,https://solve.mit.edu/solutions/9158
9166,Submitted,Control-D.,"Emelone Tochukwu, Edwin",https://solve.mit.edu/solutions/9166
8753,Submitted,Biodegradable cups and straws made of Açaí.,Caleb Bentes,https://solve.mit.edu/solutions/8753
8916,Submitted,Yo-Waste Mobile Application - Makerere University,Martin Tumusiime,https://solve.mit.edu/solutions/8916
9047,Submitted,Mine of textile filaments,Cristina Chelariu,https://solve.mit.edu/solutions/9047
8939,Submitted,3D-PVC (by Octagon 3D),Shasi Pinninti,https://solve.mit.edu/solutions/8939
9134,Submitted,Producción automatizada de jabones en base a aceite usado,mitted,https://solve.mit.edu/solutions/9134
8811,Submitted,braLET making fashion circular,Clarissa Santos,https://solve.mit.edu/solutions/8811
8579,Submitted,EcoTech Visions,Pandwe Gibson,https://solve.mit.edu/solutions/8579
8905,Submitted,Mi-Solutions-Electronic commerce project ,Emmanuel Kasajja,https://solve.mit.edu/solutions/8905
9076,Submitted,soso care ,Nonso Opurum,https://solve.mit.edu/solutions/9076
8465,Submitted,ARA : Plastic wastes to modular shoes,fela akinse,https://solve.mit.edu/solutions/8465
8744,Submitted,OkwuEco:empower recycling efforts to perform better anywhere,Saviour  Obinnah Anyanwu,https://solve.mit.edu/solutions/8744
9077,Submitted,Smart Green Washer,Anteneh Gashaw,https://solve.mit.edu/solutions/9077
9017,Submitted,Tekeya - Food Waste Mobile Application,Menna Ibrahim,https://solve.mit.edu/solutions/9017
9034,Submitted,Infrared based plastic sorting technology.,mitted,https://solve.mit.edu/solutions/9034
9008,Submitted,Carbon Nouvelle ,Martin Tanui,https://solve.mit.edu/solutions/9008
8968,Submitted,Interoperable Browser Cache,RICCARDO CASTAGNA,https://solve.mit.edu/solutions/8968
8991,Submitted,Handscart,Lalit Gautam,https://solve.mit.edu/solutions/8991
8910,Submitted,YouPickUp.org,Paul Swanson,https://solve.mit.edu/solutions/8910
8562,Submitted,Tampinha Legal (Cool Cap) - a circular economy in practice,Simara Souza,https://solve.mit.edu/solutions/8562
8912,Submitted,greenYng,Jorge Gonzalez Segura,https://solve.mit.edu/solutions/8912
8731,Submitted,Lidbot,Hamoun Karami,https://solve.mit.edu/solutions/8731
8692,Submitted,"Capture, React and Build",marina eleya,https://solve.mit.edu/solutions/8692
8869,Submitted,Leather Heart,Andres Solorzano,https://solve.mit.edu/solutions/8869
8871,Submitted,النفط العضوي,محمود محمد,https://solve.mit.edu/solutions/8871
8713,Submitted,AgroCycle Marketplace,Deirdre Blake,https://solve.mit.edu/solutions/8713
8846,Submitted,The strategy of integrating the informal economy into the fo,ahmed al-tieb,https://solve.mit.edu/solutions/8846
8831,Submitted,Continuous Food Delivery Program,Bruno Ferreira,https://solve.mit.edu/solutions/8831
8585,Submitted,Mawejje Creations,Mawejje Muhammed Dimma,https://solve.mit.edu/solutions/8585
8816,Submitted,Youth Employment Support  Uganda Limited (YES- UG),Ronah Nahabwe,https://solve.mit.edu/solutions/8816
8815,Submitted,solar freeze,Dysmus Kisilu,https://solve.mit.edu/solutions/8815
8797,Submitted,Virtual Therm - Improving the virtualization at all,SERTAÇ GÜNEY,https://solve.mit.edu/solutions/8797
8754,Submitted,Circular Economy of Plastics,Albert Kravos,https://solve.mit.edu/solutions/8754
8736,Submitted,100% Circular Closed Loop System for Plastic Bottles,Jack Buffington        明 张杰,https://solve.mit.edu/solutions/8736
8631,Submitted,Josiel : sustentabilidade e conscientização. ,Josiel Santos,https://solve.mit.edu/solutions/8631
8575,Submitted,ECOlabora,Bernardo Marquez,https://solve.mit.edu/solutions/8575
8610,Submitted,Mobile Solar Wearbles,Boaz Opio,https://solve.mit.edu/solutions/8610
8540,Submitted,Eco Panplas,Felipe Cardoso,https://solve.mit.edu/solutions/8540
8571,Submitted,Freecycle.org Friends Circle - a Sharing/Reuse Concept,Deron Beal,https://solve.mit.edu/solutions/8571
8547,Submitted,The Green Path Model [GPM] for Healthcare Financing,LIVINGSTONE ODERO,https://solve.mit.edu/solutions/8547
8556,Submitted,Foam & Fabric Architects,Rabih Maalouf,https://solve.mit.edu/solutions/8556
8538,Submitted,Recyglo' affordable circular economy solutions ,okka phyo maung,https://solve.mit.edu/solutions/8538
8525,Submitted,"The project is called ""Caramuru"" and the App to be developed",Dênis Borges De Oliveira,https://solve.mit.edu/solutions/8525
8522,Submitted,ECOACT TANZANIA,christian Mwijage,https://solve.mit.edu/solutions/8522
